id,"name","created_at","updated_at"
1,"事務職","2018-02-27 05:47:57","2018-02-27 05:47:57"
2,"飼料部","2018-02-27 05:52:23","2018-02-27 05:52:23"
3,"営業","2018-02-27 05:52:39","2018-02-27 05:52:39"
4,"石巻工場事務","2018-02-27 05:52:49","2018-02-27 05:52:49"
5,"石巻工場製造","2018-02-27 05:53:07","2018-02-27 05:53:07"
6,"高砂工場事務","2018-02-27 05:53:23","2018-02-27 05:53:23"
7,"高砂工場製造","2018-02-27 05:53:40","2018-02-27 05:53:40"
8,"専門","2018-02-27 05:53:55","2018-02-27 05:53:55"
9,"その他","2018-02-27 05:55:27","2018-02-27 05:55:27"
